deltabg,bg,insulin,carbs
0.0,49.0,0.0,0.0
-0.008607112642476423,79.0,8.607112642476424e-05,0.0
-0.023867575718817164,110.0,0.00023867575718817163,0.0
-0.036471020342922905,137.0,0.00036471020342922905,0.0
-0.04675057725789406,155.0,0.0004675057725789406,0.0
-0.05500306430557151,165.0,0.0005500306430557151,0.0
-0.27667045571189014,167.0,0.0027667045571189014,0.0
-0.8490571324391377,149.0,0.008490571324391377,0.0
-1.5180681150433426,141.0,0.015180681150433426,0.0
-2.095030557179749,132.0,0.02095030557179749,0.0
-2.570425424474545,116.0,0.02570425424474545,0.0
-2.948901600882119,99.0,0.02948901600882119,0.0
-2.551770603750879,85.0,0.032432079583505975,0.06914373545997184
-3.617432844321937,175.0,0.03617432844321937,0.0
-3.3477121116014503,195.0,0.0334771211160145,0.0
-3.1551698406133575,216.0,0.031551698406133574,0.0
-3.1285812026938418,228.0,0.03128581202693842,0.0
-3.300925804682939,215.0,0.03300925804682939,0.0
-3.6375158274110038,206.0,0.03637515827411004,0.0
-3.995043864222851,201.0,0.03995043864222851,0.0
-4.2695435396387955,195.0,0.042695435396387954,0.0
-4.464279639795989,190.0,0.04464279639795989,0.0
-4.59931668356409,180.0,0.0459931668356409,0.0
-4.700036581051324,177.0,0.04700036581051324,0.0
-4.762147021705852,179.0,0.047621470217058516,0.0
-4.775216455940333,168.0,0.04775216455940333,0.0
-4.74710836911421,157.0,0.0474710836911421,0.0
-4.701942117517674,151.0,0.04701942117517674,0.0
-4.641859922526357,153.0,0.04641859922526357,0.0
-4.553528107414259,153.0,0.045535281074142585,0.0
-4.442220715875733,155.0,0.04442220715875733,0.0
-4.403629552627921,155.0,0.04403629552627921,0.0
-4.421417382499231,157.0,0.04421417382499231,0.0
-4.400106321955104,155.0,0.044001063219551044,0.0
-4.366870546604313,157.0,0.04366870546604313,0.0
-4.34338950565,158.0,0.0434338950565,0.0
-4.3247611777398545,158.0,0.04324761177739855,0.0
-4.336821612585768,156.0,0.043368216125857686,0.0
-4.354769065452581,143.0,0.043547690654525816,0.0
-4.33477262952749,138.0,0.0433477262952749,0.0
-4.291599943263321,144.0,0.04291599943263322,0.0
-4.228642063737903,132.0,0.04228642063737903,0.0
-4.150087152923695,114.0,0.04150087152923695,0.0
-4.06690608904422,131.0,0.040669060890442206,0.0
-3.9725961599423854,140.0,0.039725961599423855,0.0
-3.861163053189108,141.0,0.03861163053189108,0.0
-3.856748104387035,138.0,0.03856748104387035,0.0
-3.942303182057795,137.0,0.03942303182057795,0.0
-4.021781968134023,138.0,0.040217819681340236,0.0
-4.050176646750997,159.0,0.04050176646750997,0.0
-4.050324248476963,163.0,0.04050324248476963,0.0
-4.142008491753811,150.0,0.041420084917538104,0.0
-4.364545419841473,144.0,0.043645454198414736,0.0
-4.583205681847589,142.0,0.04583205681847589,0.0
-4.737992338274902,142.0,0.04737992338274902,0.0
-4.829922761089687,142.0,0.048299227610896875,0.0
-4.86844619915153,143.0,0.048684461991515306,0.0
-4.879105555792231,142.0,0.04879105555792231,0.0
-4.865319913196797,134.0,0.048653199131967965,0.0
-4.814899876052546,121.0,0.048148998760525454,0.0
-4.734143999975358,120.0,0.047341439999753585,0.0
-4.645780016534582,119.0,0.04645780016534582,0.0
-4.550714107745643,118.0,0.04550714107745643,0.0
-4.434516139020049,116.0,0.04434516139020049,0.0
-4.301488829940579,110.0,0.04301488829940579,0.0
-4.1725843139331396,110.0,0.0417258431393314,0.0
-4.047131102141959,107.0,0.04047131102141959,0.0
-3.909299144103315,107.0,0.03909299144103315,0.0
